project_name,number_file,SLOC
adversarial-training,62,11320
AI-Training,128,22978
ailearning,131,10898
Air-Pollution,3248,872019
attention-lvcsr,613,142601
AutoDL-Projects,239,37139
botorch,219,40010
BPNN,41,7675
caffe-opencl-windows-amd,41,6242
CarND-Capstone-Wolf-Pack,28,1901
cifar10-human-experiments,157,31409
crop-yield-prediction-project,86,7216
cs-ranking,103,7112
CS385ML,55,4265
deep-learning-python,20,2156
DeepCamera,191,27643
deepdrive,126,13235
DeepLearningExamples,1700,232701
DeepPavlov,295,27517
deep_framework,352,38983
dgl,195,21456
DI-engine,954,84952
DIGITS,222,26920
DIGITS-GAN,215,25518
Django_web,125,7190
dlprimitives,20,3489
DNN-Genealogy,30,4033
doctr,194,15260
donkeycar,133,16267
EMP,58,3599
experiment,290,35468
FARM,99,16491
federated,386,56066
Galaxy-ML,67,10370
gdml,323,31557
geometric-certificates,85,16060
gh-repo-classifier,46,5097
graph_coattention,450,128225
handwritten-text-recognition-for-apache-mxnet,20,2781
horovod,226,37247
image_retrieval,25,1308
io-kawiarnie,113,8268
ISP2021-object_detection,26,2224
itf,23,2534
kur,143,12410
LAMP_assay_automation,191,30685
learning-from-human-preferences,37,3776
machine-learning-and-simulation,24,2890
Mask_RCNN,11,3273
ME-134,33,1929
mead-baseline,227,43316
meta-minichess,71,4446
mindmeld,172,36980
mister_ed,58,10513
mizar-labs,54,5795
ml4chem,44,5959
mlls2015,35,3818
moneycat,1897,422742
moonlight,113,6514
MultiSeg,55,6738
mvlearn,121,11034
neuralmonkey,172,13511
new-docs,5,244
ocrd_keraslm,12,1396
ocropus4,70,11175
omdena-philippines-renewable,50,2182
OpenHands,63,4089
osemosys_global,9,1989
PointerNetworks,260,15807
predicting-citation-counts,36,2234
procedural-generalization,22,1677
project-NN-Pytorch-scripts,191,33509
ProjectsGit,174,9112
pykale,105,9484
pylayers,269,60701
pyro,578,84413
pysc2-examples,35,4647
PythonNeuralNetNLP,140,15660
pytorch-template,19,622
pytorchrl,148,14006
QGOpt,21,1199
QMCTorch,155,11847
R-CPATMiner,762,139311
RawNet,27,3605
Response,15,686
returnn,243,107334
rgn2-replica,20,2028
rtg,86,10812
scalable_maddpg,52,4080
Science4Fashion_ref,29,4146
segregation,120,6308
Sign-Language-Translator,610,131059
speechbrain,333,53554
speech_recognition,16,1607
Spyrkle,9,884
StockHelper,19,730
taiyaki,77,7748
text_classification,89,12370
tf-encrypted,154,18215
tf-quant-finance,276,34245
tfds-korean,82,2274
themeaningofbrain,364,101303
tiny,28,2346
trojanzoo,194,17625
twinnet-asr,614,143042
VITAE,14,2899
Vigilantes,7510,2010902
Voice-Privacy-Challenge-2022,99,13726
wikum,118,8727
zr-obp,85,32461
