project_name,LOC,occurrence,log_density
adversarial-training,11320,5.0,2264.0
AI-Training,22978,190.0,120.93684210526315
ailearning,10898,4.0,2724.5
Air-Pollution,872019,1839.0,474.1810766721044
attention-lvcsr,142601,317.0,449.8454258675079
AutoDL-Projects,37139,711.0,52.23488045007032
botorch,40010,53.0,754.9056603773585
BPNN,7675,13.0,590.3846153846154
caffe-opencl-windows-amd,6242,10.0,624.2
CarND-Capstone-Wolf-Pack,1901,38.0,50.026315789473685
cifar10-human-experiments,31409,281.0,111.77580071174377
crop-yield-prediction-project,7216,,
cs-ranking,7112,143.0,49.73426573426573
CS385ML,4265,,
deep-learning-python,2156,,
DeepCamera,27643,36.0,767.8611111111111
deepdrive,13235,274.0,48.302919708029194
DeepLearningExamples,232701,1783.0,130.510936623668
DeepPavlov,27517,481.0,57.20790020790021
deep_framework,38983,70.0,556.9
dgl,21456,,
DI-engine,84952,250.0,339.808
DIGITS,26920,244.0,110.32786885245902
DIGITS-GAN,25518,214.0,119.24299065420561
Django_web,7190,36.0,199.72222222222223
dlprimitives,3489,,
DNN-Genealogy,4033,9.0,448.1111111111111
doctr,15260,22.0,693.6363636363636
donkeycar,16267,124.0,131.18548387096774
EMP,3599,9.0,399.8888888888889
experiment,35468,33.0,1074.7878787878788
FARM,16491,341.0,48.360703812316714
federated,56066,269.0,208.42379182156134
Galaxy-ML,10370,22.0,471.3636363636364
gdml,31557,196.0,161.00510204081633
geometric-certificates,16060,8.0,2007.5
gh-repo-classifier,5097,,
graph_coattention,128225,273.0,469.6886446886447
handwritten-text-recognition-for-apache-mxnet,2781,10.0,278.1
horovod,37247,202.0,184.3910891089109
image_retrieval,1308,,
io-kawiarnie,8268,,
ISP2021-object_detection,2224,25.0,88.96
itf,2534,,
kur,12410,390.0,31.82051282051282
LAMP_assay_automation,30685,68.0,451.25
learning-from-human-preferences,3776,24.0,157.33333333333334
machine-learning-and-simulation,2890,,
Mask_RCNN,3273,5.0,654.6
ME-134,1929,,
mead-baseline,43316,405.0,106.95308641975309
meta-minichess,4446,157.0,28.318471337579616
mindmeld,36980,473.0,78.18181818181819
mister_ed,10513,5.0,2102.6
mizar-labs,5795,2.0,2897.5
ml4chem,5959,215.0,27.71627906976744
mlls2015,3818,44.0,86.77272727272727
moneycat,422742,1524.0,277.3897637795276
moonlight,6514,8.0,814.25
MultiSeg,6738,20.0,336.9
mvlearn,11034,,
neuralmonkey,13511,,
new-docs,244,,
ocrd_keraslm,1396,23.0,60.69565217391305
ocropus4,11175,19.0,588.1578947368421
omdena-philippines-renewable,2182,4.0,545.5
OpenHands,4089,4.0,1022.25
osemosys_global,1989,19.0,104.6842105263158
PointerNetworks,15807,39.0,405.3076923076923
predicting-citation-counts,2234,,
procedural-generalization,1677,29.0,57.827586206896555
project-NN-Pytorch-scripts,33509,1.0,33509.0
ProjectsGit,9112,,
pykale,9484,82.0,115.65853658536585
pylayers,60701,80.0,758.7625
pyro,84413,373.0,226.30831099195711
pysc2-examples,4647,6.0,774.5
PythonNeuralNetNLP,15660,,
pytorch-template,622,15.0,41.46666666666667
pytorchrl,14006,11.0,1273.2727272727273
QGOpt,1199,,
QMCTorch,11847,113.0,104.84070796460178
R-CPATMiner,139311,312.0,446.50961538461536
RawNet,3605,5.0,721.0
Response,686,,
returnn,107334,23.0,4666.695652173913
rgn2-replica,2028,4.0,507.0
rtg,10812,395.0,27.372151898734177
scalable_maddpg,4080,,
Science4Fashion_ref,4146,163.0,25.43558282208589
segregation,6308,,
Sign-Language-Translator,131059,889.0,147.42294713160854
speechbrain,53554,588.0,91.078231292517
speech_recognition,1607,1.0,1607.0
Spyrkle,884,,
StockHelper,730,,
taiyaki,7748,4.0,1937.0
text_classification,12370,34.0,363.8235294117647
tf-encrypted,18215,21.0,867.3809523809524
tf-quant-finance,34245,16.0,2140.3125
tfds-korean,2274,10.0,227.4
themeaningofbrain,101303,54.0,1875.9814814814815
tiny,2346,34.0,69.0
trojanzoo,17625,39.0,451.9230769230769
twinnet-asr,143042,317.0,451.2365930599369
Vigilantes,2010902,4679.0,429.77174609959394
VITAE,2899,,
Voice-Privacy-Challenge-2022,13726,1.0,13726.0
wikum,8727,4.0,2181.75
zr-obp,32461,13.0,2497.0
