repo_name,num_stars,num_forks,num_contributor,num_commit
tinchoa/normalizer,0,0,1,68
jonathasrc/INAR,0,0,1,5
aasouzaconsult/Luppar-News-Rec,1,0,1,135
SHRAVANI-PRAJIL/shravani_srisailam,0,0,1,5
russDA/DnD_Adventure_Predictor,0,0,1,6
PreethiJC/Information-Retrieval,9,3,1,4
jayantkeswani/SocialMedia_Profiling,0,1,0,8
imayassi/datum_canada,0,0,1,3
ael2193/Resume_Experiment_Analysis,0,0,1,16
dyno-marketing/text-classification-api,1,2,2,7
yanyundoris/eLearning_yyliu,0,0,1,20
Wrestlemaniaa/Automation,0,0,3,18
namkolgnottw/MarkerAlgorithmWithMachineLearning,0,0,1,10
s260895/auto_mileage_visualization,0,0,1,6
rsumana/UserProfiling,8,5,1,2
aligorithms/cuisine,0,0,1,3
vidushi002/TermPredictionwithUI,0,0,1,40
siddharth-dot/soft.github.io,0,0,1,1
AkashJ487/Projects,0,0,1,1
DannyDannyDanny/CDA,0,0,1,66
Susanou/MachineLearning,0,0,1,87
RichelieuRosa/Lqwhooljhqw-Sbwkrq-Y,4,5,5,50
zeyh/machine-learning-projects,0,0,1,10
rupak-roy/streamlit_churn_analysis,1,0,1,59
dssg-berlin/hackathon-borderstep,0,1,5,96
EshaanJames/multipage_app,0,0,1,12
OmdenaAI/omdena-philippines-renewable,32,7,11,129
vinayaksh42/vinayaksh42-gmail.com,0,0,1,9
PadraicM71/Experiment,0,0,1,8
taitanmai/studybehaviour,0,0,1,13
jacesca/python_ds,0,0,1,90
Aziguy/DataScienceEDA,1,0,1,16
Green-Pea-Ai/cheese_flask_proj,0,1,1,70
imayassi/datum,0,0,1,6
AmartyaS/Resume-Classification,1,0,1,7
agtaweel/arabic-text-classification,3,0,1,4
Vizards8/Quick-Machine-Learning,0,0,1,3
rjm49/isaacdata,0,1,1,81
blakexdd/INF_course_job,2,0,1,28
Jihun22/PycharmProjects,0,0,1,102
LeKiet258/DS-Project03-Fake-News-Detection,0,0,3,41
sanjivko/datasc,0,0,0,2
wesleyz/RII-2018,0,0,1,8
15steps/ir_project,0,0,2,92
Igor-Yudin/autosite,0,0,2,40
sappy5678/Orientan,1,2,3,125
haodc123/python_crawling,0,0,1,30
chandrakanta-chaudhury/Machine-Learning,0,0,1,7
sunnysuman/LeadScore,0,0,1,17
Hemanth9336/Sentiment-Analysis-Using-Python,0,0,1,4
trizkynoviandy/streamlit_classifications,0,0,1,2
yujiniseyo/streamlit-diabetes-prediction-app,0,0,1,10
anton164/predicting-citation-counts,2,0,3,176
aakshay001/Diabetes_Prediction,0,0,1,6
preeti297/Sound-Based-Two-Factor-Authentication,1,0,1,4
pcortajarena/tf-sne,0,0,1,53
andrewgcodes/geneRanker,0,0,1,41
n7-sehgalr/strive-ai-may-2021-remote,0,1,1,190
lxueqian/Fraud-Detection,2,0,1,3
siddharth-dot/software123.github.io,0,0,1,1
MatthewChristian/BigDataProject,0,0,2,37
m00nlight/hackerrank,9,7,1,182
dev-jey/jumia-kilimall,3,1,1,48
yawenz/ML,0,0,1,9
lightonphiri/etd_autoclassifier,2,0,1,10
chai915/srs2019,0,0,1,4
Pra-kriti/Health-Diagnosis,0,0,1,4
soominok/cheese-ai,0,0,1,87
leedanieluk/data_mining,0,0,1,3
kitsamho/General-Assembly_DSI-Capstone-Project,0,0,1,64
sduprey/PYTHON_WEB,0,0,1,22
pks3kor/For_GitHub,1,0,1,38
domonic/CS490_DomonicNeal,0,0,1,73
exciteproject/Exparser,4,5,3,74
marcduby/MachineLearningPython,0,2,2,236
AshwinBalaji52/Personality-Detection-using-Handwriting,0,0,1,3
