project_name,path,logging_statement,occurrence
adversarial-training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\adversarial-training\adversarial_training.py,logger.log,2
adversarial-training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\adversarial-training\adversarial_training.py,logger.data_count,1
adversarial-training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\adversarial-training\adversarial_training.py,logger.add_series,2
adversarial-training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\adversarial-training\main_sandbox.py,warnings.warn,1
adversarial-training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\adversarial-training\utils\pytorch_utils.py,warnings.warn,2
AI-Training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\AI-Training\voice-analytics\classification\train.py,self.hparams.train_logger.log_stats,2
AI-Training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\AI-Training\voice-analytics\classification\speechbrain\core.py,logger.warn,5
AI-Training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\AI-Training\voice-analytics\classification\speechbrain\core.py,logger.warning,2
AI-Training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\AI-Training\voice-analytics\classification\speechbrain\core.py,sb.utils.logger.setup_logging,1
AI-Training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\AI-Training\voice-analytics\classification\speechbrain\core.py,logger.error,1
AI-Training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\AI-Training\voice-analytics\classification\speechbrain\core.py,logger.info,7
AI-Training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\AI-Training\voice-analytics\classification\speechbrain\alignment\ctc_segmentation.py,logger.error,1
AI-Training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\AI-Training\voice-analytics\classification\speechbrain\alignment\ctc_segmentation.py,logger.warning,1
AI-Training,C:\Users\fpatr\PycharmProjects\GitHub\data\outputs\clones\AI-Training\voice-analytics\classification\speechbrain\dataio\dataio.py,logger.info,2
