sappy5678/Orientan,1,2,3,125
harsh-8989/Software-Eng.-project,1,3,4,102
zackw/tbbscraper,23,16,4,360
ogrisel/scikit-learn-github-actions,2,3,1853,26319
sandialabs/pvOps,6,4,5,276
scikit-learn/scikit-learn,49084,22660,2247,27947
thomaspingel/neilpy,7,4,2,148
digimatronics/sci-kit,1,0,757,21548
sakib/scikit-learn,1,0,935,22247
takseki/python-machine-learning-book,2,0,15,556
Hurence/logisland,105,31,21,2538
V1EngineeringInc/V1EngineeringInc-Docs,75,79,29,913
nltk/nltk.github.com,59,45,4,334
AtousaTorabi/Theano_old,1,0,85,15408
Ascend/samples,26,14,26,3522
starimpact/mxnet_basedv0.7.0,1,1,133,3873
hust-wuwechao/mxnet_share_327_330,1,0,808,11123
tf-encrypted/tf-encrypted,981,174,24,595
tensorflow/probability,3601,969,409,11305
MorvanZhou/PyTorch-Tutorial,6586,2952,7,117
pytorch/vision,10939,5647,472,2493
